word,count
rage,102
trembling,102
surrounded,102
smoke,102
spanish,102
bush,102
square,102
afford,102
girolamo,102
object,101
worst,101
rested,101
occasion,101
honest,101
realised,101
learn,101
realise,101
island,101
interrupted,101
poured,101
around,101
supper,101
frau,101
watching,100
movement,100
penny,100
occupied,100
allerton,100
carefully,99
stories,99
class,99
vaguely,99
stairs,99
pointed,99
shining,99
heavily,99
ship,99
singular,98
enjoyed,98
prevented,98
shut,98
cab,98
suffering,98
pocket,98
older,98
shown,98
lover,98
affected,98
doors,98
fortune,98
shame,98
excuse,97
mysterious,97
firm,97
ordered,97
distance,97
following,97
drunk,97
goodnight,97
admiral,97
painter,96
writing,96
blame,96
queer,96
jolly,96
reminded,96
inclined,96
chief,96
resist,96
drank,96
le,96
butler,96
secret,95
seated,95
contempt,95
enthusiasm,95
meeting,95
generally,95
grown,95
health,95
third,95
curiously,95
leaned,95
la,95
hurry,95
enjoy,95
miles,95
missionary,95
bottom,95
brander,95
shy,94
blind,94
wide,94
respect,94
slept,94
golden,94
saturday,94
crossed,94
gate,93
polite,93
hurried,93
hearts,93
delicate,93
r,93
laid,92
memory,92
danger,92
existence,92
constantly,92
passing,92
ways,92
humiliation,92
thanks,92
gentle,92
carriage,92
village,92
throat,92
post,92
pardon,92
g,92
passage,91
thinks,91
park,91
advice,91
amusing,91
weather,91
express,91
dignity,91
quarter,91
dismay,91
follow,91
faced,91
built,91
history,90
risk,90
astonishment,90
hung,90
mothers,90
questions,90
buy,90
content,90
b,90
miserable,90
beast,90
nurse,90
curate,90
gentlemen,90
paul,90
sacrifice,89
portrait,89
exhausted,89
indifference,89
private,89
rule,89
despise,89
capable,89
kindness,89
possibly,89
grief,89
horribly,89
faith,89
yesterday,89
language,88
moral,88
cathedral,88
fancied,88
gaily,88
attempt,88
sighed,88
explained,88
ties,88
tenderness,88
lifted,88
anxiety,88
shaking,88
seville,88
gomer,88
works,87
attitude,87
club,87
carry,87
useful,87
downstairs,87
glanced,87
retorted,87
boots,87
warm,87
slight,87
breaking,87
oxford,87
decent,86
paint,86
conceal,86
brilliant,86
thoroughly,86
harm,86
stranger,86
dog,86
importance,86
somehow,86
blow,86
violently,86
opposite,86
forehead,86
sharply,86
mercy,86
result,86
thompson,86
romantic,85
imagined,85
accustomed,85
somebody,85
splendid,85
tree,85
hoped,85
fields,85
boat,85
